ward;Total people, total personal income;  Loss;  Zero income;  $1-$5,000;  $5,001-$10,000;  $10,001-$15,000;  $15,001-$20,000;  $20,001-$25,000;  $25,001-$30,000;  $30,001-$35,000;  $35,001-$40,000;  $40,001-$50,000;  $50,001-$60,000;  $60,001-$70,000;  $70,001-$100,000;  $100,001-$150,000;  $150,001 or more;  Total people stated;  Not stated
  Tawa South;;2838;6;192;192;132;183;195;180;123;120;111;237;216;153;333;216;90;2676;159
  Tawa Central;;3444;9;282;207;150;213;261;222;177;165;174;321;267;219;372;156;42;3231;213
  Linden;;3123;18;285;204;174;201;231;186;153;144;180;294;222;183;246;117;42;2883;240
  Greenacres;;1239;0;102;75;60;63;66;63;69;45;48;111;105;75;177;84;39;1182;54
  Thorndon-Tinakori Road;;3804;12;141;162;156;195;195;153;162;135;165;369;348;267;522;312;255;3543;261
  Lambton;;5451;24;405;762;573;420;258;216;165;171;195;387;339;222;420;282;159;4989;462
  Willis Street-Cambridge Terrace;;7098;39;339;567;579;441;330;267;279;249;363;615;540;408;708;411;309;6444;654
  Wellington City-Marinas;;36;0;3;3;3;0;3;0;0;0;3;6;3;0;6;3;0;36;0
  Aro Street-Nairn Street;;3654;18;159;498;408;354;279;207;147;120;144;252;225;135;231;108;72;3357;294
  Mt Cook-Wallace Street;;4776;30;264;612;570;426;333;225;195;165;192;354;255;192;282;141;60;4293;483
  Mt Victoria West;;4962;21;162;186;258;282;249;219;225;231;273;543;450;360;582;345;267;4653;309
  Glenside North;;294;0;12;12;18;15;9;9;12;12;21;27;30;27;48;21;9;279;12
  Churton Park North;;2229;6;204;156;93;96;96;78;66;66;96;159;159;147;279;249;186;2145;84
  Churton Park South;;2541;6;213;150;111;114;117;105;99;96;114;240;210;177;339;231;114;2433;108
  Grenada North;;249;3;18;18;15;9;12;12;9;18;27;33;21;9;12;3;0;222;24
  Grenada Village;;969;0;66;54;27;36;39;33;42;45;72;108;108;84;144;60;15;933;39
